X_ACC,Y_ACC,Z_ACC,X_GYRO,Y_GYRO,Z_GYRO,X_GRAVITY,Y_GRAVITY,Z_GRAVITY,X_MF,Y_MF,Z_MF,X_GMRV,Y_GMRV,Z_GMRV,TIME,LABEL
-0.49295855,-2.11652,-1.924538,-0.4251622,0.91415983,-0.8222246,-8.19638,-4.141399,3.4502597,25.851799,38.674,-9.089,-0.13807315,0.59929335,-0.41690868,17:35:40,Fast
6.759918,-0.43650532,-1.7613225,-0.1611157,0.5006041,-2.5222626,-6.3363113,-7.2898545,1.7161877,11.9925995,45.249798,-7.625,-0.19949332,0.5899898,-0.3442617,17:35:40,Fast
-1.5940948,-0.018523216,-0.09622228,-0.14859296,0.022602014,-0.10949759,-5.2631106,-8.121003,1.6078154,14.9206,44.4934,-8.7474,-0.22467235,0.5801038,-0.30578104,17:35:40,Fast
-4.285644,-0.012696266,1.2906436,0.5746715,-0.5016731,1.8626808,-6.8818703,-6.72042,1.9266354,26.6814,36.9538,-14.3594,-0.24795613,0.55818284,-0.27419683,17:35:40,Fast
0.26407242,0.14706898,1.2673068,0.24694228,-1.1346822,1.8999436,-8.238337,-3.9929721,3.5244994,28.0844,37.2954,-15.1524,-0.26935855,0.55975,-0.2182057,17:35:41,Fast
0.06736565,-0.28674126,-2.0416658,-0.124769226,1.5887078,-1.9159788,-8.039696,-4.9422655,2.678319,15.1036,45.14,-9.1866,-0.21233587,0.54536724,-0.28894132,17:35:41,Fast
6.2425036,3.29024,-1.2205937,-0.16707164,-0.35918877,-1.8550451,-5.890563,-7.6749964,1.6222837,12.4562,45.945198,-7.5639997,-0.26458445,0.54523563,-0.21599095,17:35:41,Fast
-6.065675,-1.9454045,0.6909443,0.15195273,0.33399057,0.8472701,-5.799539,-7.6417656,2.0505788,23.716799,41.052998,-8.8328,-0.24803294,0.5552823,-0.23437907,17:35:41,Fast
-4.2503233,-0.44730282,1.2737226,0.5742133,-0.8391761,2.3214407,-7.4609847,-5.643101,2.953847,31.854198,33.4524,-14.0543995,-0.2443877,0.5674745,-0.24652961,17:35:41,Fast
-1.4684825,-2.930512,-0.6905751,-0.22342396,0.22785273,0.300393,-8.292736,-3.573603,3.833536,23.8632,40.7602,-7.93,-0.21041423,0.57405126,-0.28993365,17:35:41,Fast
5.0056667,0.6511524,-2.4728427,-0.43188173,1.0708468,-2.818685,-7.538099,-5.9539175,1.9909958,11.7486,45.201,-7.0759997,-0.20721506,0.56508595,-0.28353316,17:35:41,Fast
3.5256138,2.95664,-0.23797107,-0.14737125,0.04734206,-0.95554596,-5.5510306,-7.949491,1.4925667,18.4952,42.822,-8.174,-0.24067007,0.56099594,-0.2319299,17:35:42,Fast
-4.4270444,0.6917672,1.1115307,-0.08536842,-0.2773328,1.4579827,-6.4187784,-7.2233667,1.690674,30.524399,35.2702,-13.0418,-0.25391686,0.5698043,-0.21818705,17:35:42,Fast
-2.544806,-0.45366526,0.026710749,0.9097311,-1.0074695,2.1859813,-8.079849,-4.7415977,2.9102209,28.657799,37.21,-10.919,-0.24493685,0.581651,-0.22350714,17:35:42,Fast
-0.6565609,-1.5887761,-1.1483483,-0.36575556,0.516792,-0.8037459,-8.227167,-3.9586725,3.5886977,13.9567995,45.2742,-7.8079996,-0.19639738,0.58592737,-0.37009162,17:35:42,Fast
8.4801035,2.581717,-3.2537384,-0.3559817,0.60139686,-2.5778513,-6.5249844,-7.1024594,1.7932546,13.9324,45.0302,-8.3448,-0.22216904,0.5911214,-0.34634453,17:35:42,Fast
-3.0222788,-3.9207826,-0.22855055,0.1244638,-0.1684461,-0.13041973,-5.126292,-8.211179,1.5917858,25.6078,39.9916,-8.454599,-0.24644952,0.56608844,-0.31407064,17:35:42,Fast
-3.0844736,-0.7777338,2.4987702,0.42546764,-0.66843927,1.796402,-6.6674647,-6.8982124,2.0483422,31.219799,34.818798,-12.5538,-0.2731112,0.5603295,-0.27725154,17:35:42,Fast
-2.704544,-2.4810786,0.45486283,0.21746802,-0.6962337,1.7406605,-8.204027,-4.1037116,3.47701,19.7274,42.3584,-8.5278,-0.24586634,0.59561574,-0.28556758,17:35:43,Fast
-0.3847332,-0.98490906,-3.1676383,-0.48548517,1.1963795,-1.7683022,-8.186902,-4.7925234,2.498496,11.138599,45.481598,-7.9544,-0.0785019,0.6022285,-0.4771151,17:35:43,Fast
6.4515533,2.7819672,-1.0041097,-0.39568797,0.18600847,-1.8190039,-5.97483,-7.673574,1.2860022,18.2146,43.737,-9.2842,-0.2060914,0.58254737,-0.33049542,17:35:43,Fast
-6.56732,-3.1765532,1.2567865,0.32436943,0.38637227,0.77411896,-5.7868257,-7.7478466,1.6491301,30.4634,35.062798,-13.493199,-0.23506398,0.5713582,-0.28002417,17:35:43,Fast
-3.1604,1.1208615,1.0289211,0.6281222,-0.6488916,2.1960607,-7.5124154,-5.775736,2.5378308,26.5838,38.722797,-8.9914,-0.24261634,0.5720825,-0.2754238,17:35:43,Fast
-0.626997,-2.589293,-0.043525696,-0.056505036,-0.4636467,0.81138176,-8.233407,-3.6841118,3.8567412,12.675799,44.652,-8.662,-0.14173119,0.5855383,-0.39391023,17:35:43,Fast
5.0289936,0.7101619,-2.0091376,-0.27412578,1.1351403,-2.773481,-7.511826,-5.8575525,2.34471,13.908,45.7866,-10.8336,-0.12811178,0.561677,-0.41233516,17:35:43,Fast
5.148819,3.2468915,-0.2708478,-0.3231477,-0.48640144,-1.1517864,-5.253234,-8.095025,1.7635864,25.4004,40.1624,-15.750199,-0.2292496,0.54684037,-0.28184906,17:35:44,Fast
-5.196498,-1.0939474,0.8321506,0.09728029,-0.11759156,1.2797627,-6.146096,-7.4037495,1.909482,29.279999,37.1368,-17.8242,-0.24397852,0.5424044,-0.2601571,17:35:44,Fast
-2.1146493,-0.20397425,1.4430958,0.98822725,-0.68279463,2.1972823,-7.890982,-4.7322817,3.4020646,15.518399,46.2746,-11.834,-0.26712608,0.54422027,-0.22253975,17:35:44,Fast
-0.5244446,-2.0957713,-1.1958215,-0.46135598,0.6968445,-0.59040123,-8.043515,-4.003042,3.938735,11.5412,46.787,-10.6994,-0.1920428,0.58083844,-0.36331487,17:35:44,Fast
7.3019114,2.1962707,-3.5201218,-0.38148534,0.894154,-2.695443,-6.6106734,-6.9890995,1.9203151,20.3008,44.0542,-12.6026,-0.31561518,0.5267879,-0.20906273,17:35:44,Fast
-1.0430069,-2.353147,0.48188627,0.23182335,0.07971791,-0.27152961,-5.148968,-8.1026535,2.0177345,29.463,37.1978,-13.8958,-0.29761696,0.5330423,-0.22187896,17:35:44,Fast
-4.8800125,-0.39567947,1.9071395,0.5225952,-0.38591412,1.8025106,-6.761249,-6.74844,2.2316332,22.5212,42.2608,-6.9783998,-0.35333893,0.5106513,-0.14207457,17:35:44,Fast
-1.6145678,-1.7085795,-0.21526253,0.3032946,-0.98990715,1.7444785,-8.203227,-4.121701,3.457567,11.6754,46.3722,-5.3557997,-0.4126589,0.47877043,-0.020460116,17:35:45,Fast
-0.30941105,-0.7717738,-1.962339,-0.5664248,0.8216137,-1.5746579,-8.154616,-4.6377125,2.8687916,15.2134,45.3718,-6.9052,-0.39494166,0.47238168,-0.059066143,17:35:45,Fast
6.6529083,2.8264203,-1.8249515,-0.4802928,0.016035212,-2.1041253,-6.010201,-7.5677476,1.6860622,30.329199,36.6366,-9.8088,-0.31380507,0.540973,-0.19087169,17:35:45,Fast
-4.5379014,-3.4104652,0.24244893,0.21884248,0.1133155,0.7507534,-5.48581,-7.8520722,2.1182475,28.462599,39.1376,-8.4058,-0.26474535,0.5644334,-0.24735652,17:35:45,Fast
-5.3997054,-1.1114697,1.4600511,1.0519099,-0.6747007,2.20278,-7.2593856,-6.051472,2.6300437,14.8108,46.238,-6.0634,-0.26302695,0.5626714,-0.24990661,17:35:45,Fast
-1.3274627,-2.340784,0.4003122,-0.15470162,-0.5224425,0.77518797,-8.082752,-3.6957572,4.152905,16.0796,45.5304,-8.1984,-0.19346806,0.58483416,-0.32481515,17:35:45,Fast
4.137995,0.6363137,-2.742073,-0.52503866,1.3109168,-2.4775167,-7.6124744,-5.706347,2.3924744,27.3524,38.369,-13.3224,-0.10436254,0.6047028,-0.41608742,17:35:46,Fast
3.9915907,2.9132757,-1.2135967,0.008857546,-0.1919644,-1.2269229,-5.3785267,-7.980106,1.9040699,31.927399,34.465,-13.7372,-0.17376411,0.59540546,-0.33854872,17:35:46,Fast
-4.9341364,-1.32447,0.8609735,-0.21578814,-0.2780964,1.5503759,-5.814323,-7.6345067,2.0357,20.7644,43.1758,-8.5034,-0.19800417,0.58701086,-0.3067683,17:35:46,Fast
-3.3198476,-0.2516756,0.9290006,0.7275405,-0.5172501,2.1589506,-7.5852904,-5.5162396,2.8758647,12.139,46.543,-7.7348,-0.21298596,0.58399504,-0.28901196,17:35:46,Fast
-1.4989557,-2.7134638,-0.16638732,-0.33933565,0.60903263,-0.3135266,-8.232666,-3.7807443,3.7636826,21.594,42.2364,-11.5168,-0.16076255,0.60017425,-0.39954138,17:35:46,Fast
7.23802,0.33481312,-2.9196298,-0.2133447,0.43997568,-2.7638597,-7.115113,-6.5231595,1.7491964,33.977,29.548399,-16.7384,-0.19064175,0.5925941,-0.37146735,17:35:46,Fast
0.38166332,-1.3228726,0.48375213,0.19043724,-0.09972375,-0.58276546,-5.2726154,-8.093401,1.7124507,27.0352,37.4906,-11.6754,-0.22234026,0.5751596,-0.31949916,17:35:46,Fast
-4.616006,-0.026065826,1.7514101,0.25228736,-0.3465133,1.636508,-6.328214,-7.250739,1.9017421,8.686399,45.725597,-9.6136,-0.23609556,0.5783453,-0.30348,17:35:47,Fast
-0.7993655,0.056384563,-0.12667775,0.42531493,-1.5099062,1.91155,-7.931007,-4.6617985,3.4062998,12.993,43.5052,-14.1642,-0.21264413,0.59221023,-0.31877714,17:35:47,Fast
-1.5652871,-2.6059628,-1.2849472,-0.59391373,1.155299,-1.4897476,-8.138747,-4.411938,3.245261,21.6062,38.173798,-19.7518,-0.10103381,0.54755354,-0.48824704,17:35:47,Fast
8.15042,3.2798986,-1.9146318,-0.22006421,0.27916542,-2.2586741,-6.414966,-7.241035,1.6284251,27.511,34.9164,-18.4708,-0.25825864,0.51224655,-0.2727312,17:35:47,Fast
-2.6463099,-0.25867796,0.10620177,0.14446963,-0.019394971,0.3827071,-5.420241,-7.971373,1.8205272,17.5802,42.4682,-11.760799,-0.27233598,0.5112317,-0.23413828,17:35:47,Fast
-4.920486,0.18567657,2.1628332,0.51923543,-0.43463063,1.9704986,-6.908947,-6.5566783,2.3478794,11.4924,45.2254,-11.2972,-0.29004222,0.5190459,-0.22214389,17:35:47,Fast
-0.2204094,-1.8747692,-0.091127634,0.21487185,-0.45830166,1.4624114,-8.222694,-4.0056186,3.5466073,18.5318,43.1636,-11.3216,-0.27037796,0.56174535,-0.22476533,17:35:47,Fast
0.75125647,-0.15745068,-3.1392825,-0.44394633,1.3865114,-2.158187,-7.8840714,-5.25022,2.5520062,27.803799,35.4166,-18.117,-0.17134096,0.55464464,-0.3553136,17:35:48,Fast
6.277709,3.4100094,-0.84480953,0.013439035,-0.08445212,-1.6415477,-5.5620704,-7.9232707,1.5878513,27.681799,37.1368,-14.2862,-0.26039654,0.54674155,-0.2423822,17:35:48,Fast
-6.9268937,-3.827044,0.4341606,-0.06994407,-0.15103643,1.0601566,-5.750286,-7.796786,1.5428762,12.9808,44.957,-11.6754,-0.26615393,0.5442715,-0.22859429,17:35:48,Fast
-3.5891438,-0.24227953,1.8915975,1.1111639,-0.45921794,2.2292,-7.495627,-5.855444,2.401138,13.7616,44.859398,-11.6022,-0.28829208,0.5377859,-0.21118605,17:35:48,Fast
0.008088589,-3.061777,0.329566,-0.3736968,0.10415252,0.30650163,-8.484205,-3.4370508,3.5271857,24.8514,39.589,-13.7372,-0.1936717,0.55981296,-0.30251175,17:35:48,Fast
4.0877657,1.3857552,-1.3191543,-0.4195117,1.0867293,-2.5086708,-7.632846,-5.929049,1.679932,31.293,34.5016,-16.323599,-0.2162273,0.5492928,-0.2914705,17:35:48,Fast
4.9280663,2.2895074,-0.087130904,0.053450707,0.00076358154,-0.88789266,-5.5399294,-7.9679356,1.434329,21.6794,42.883,-11.224,-0.26043895,0.54614675,-0.22997937,17:35:48,Fast
-6.6061316,-2.4786782,1.5292437,-0.018325957,-0.5525276,1.4645494,-6.4077444,-7.207174,1.7982084,11.8218,46.0794,-10.1138,-0.2689756,0.5615379,-0.21573918,17:35:49,Fast
-1.555655,0.7555027,-0.51142824,0.7107417,-0.6950119,2.0566306,-8.07444,-4.756825,2.9003658,19.3004,43.249,-11.760799,-0.27326632,0.5695121,-0.2126548,17:35:49,Fast
-0.052960396,-2.6795473,-1.2119665,-0.6249151,0.6818783,-0.8516989,-8.310406,-3.7902734,3.578699,28.8286,34.77,-18.8612,-0.12394982,0.5982961,-0.39172986,17:35:49,Fast
6.8774176,2.408674,-2.699719,-0.3119994,0.5821546,-2.5822802,-6.518796,-6.943832,2.3504515,26.8888,39.0034,-12.2976,-0.15537633,0.602776,-0.3609551,17:35:49,Fast
-2.0489602,-1.3891878,-0.4512056,-0.12996158,-0.09239337,0.118507855,-5.2199273,-8.004807,2.216203,13.163799,45.0546,-8.5644,-0.19089417,0.59329003,-0.31952578,17:35:49,Fast
-4.4177947,-0.80157185,0.76846576,0.40454552,-0.56001073,1.7398969,-6.7206345,-6.775272,2.2726421,14.823,44.712997,-7.7957997,-0.21637641,0.5907782,-0.2943554,17:35:49,Fast
-1.0303478,-0.9908562,-0.28039432,0.75228053,-0.4992296,1.8445076,-8.220692,-4.103391,3.4378068,27.694,37.4906,-11.370399,-0.19675884,0.61514956,-0.2886712,17:35:49,Fast
-2.2039824,-0.7965317,-2.9288394,-0.65057147,1.0705414,-1.8183931,-8.092421,-4.753009,2.8561754,32.6228,34.3796,-9.7844,-0.07147887,0.61903614,-0.41863617,17:35:50,Fast
5.763919,2.935373,-1.739418,0.016798794,0.24678956,-1.9857702,-5.7727737,-7.6948423,1.9236937,18.239,43.151398,-7.9421997,-0.1683903,0.6099219,-0.32016066,17:35:50,Fast
-4.9848385,-2.275494,0.30167937,0.32467487,-0.1001819,0.8445212,-5.5843163,-7.8452454,1.8718125,13.6152,45.566998,-8.6986,-0.1916609,0.5942157,-0.28746417,17:35:50,Fast
-4.307088,0.058855057,1.7101762,0.52366424,-0.63804877,2.3098342,-7.452837,-5.9069667,2.4081326,22.265,41.8826,-9.7234,-0.22245276,0.5784012,-0.26261026,17:35:50,Fast
0.6349101,-1.6855235,0.4190204,-0.257327,-0.5018258,0.93218035,-8.403019,-3.6709008,3.485667,31.7932,33.3548,-14.7254,-0.19232793,0.5988168,-0.2920448,17:35:50,Fast
2.9390526,-0.35474467,-2.4070487,-0.27076602,0.79427755,-2.804635,-7.770622,-5.700046,1.8338482,23.546,40.9432,-8.4424,-0.1570439,0.5955027,-0.32917526,17:35:50,Fast
4.728787,3.1881554,-0.4723363,-0.37934732,-0.32253686,-1.0841331,-5.6698246,-7.8723154,1.454595,12.932,45.506,-7.93,-0.22489148,0.5840962,-0.25353116,17:35:50,Fast
-6.1530066,-3.080812,1.1776568,-0.015271631,0.09743301,1.3414601,-6.3313046,-7.2733426,1.8025488,16.787199,43.858997,-10.3456,-0.23678756,0.58735883,-0.23192625,17:35:51,Fast
-4.317372,-0.46116686,0.24235094,0.6198755,-0.50885075,2.3058636,-7.8166904,-5.2078066,2.8309407,29.438599,35.6118,-15.0792,-0.23612478,0.5798178,-0.24514422,17:35:51,Fast
0.9954338,-2.2241006,-0.110029936,-0.4213443,0.6783658,-0.46761733,-8.41132,-3.8471985,3.2687767,30.2682,36.2462,-10.3578,-0.14657371,0.61314166,-0.33041987,17:35:51,Fast
5.0777025,1.9604518,-2.5484133,-0.312763,0.69714993,-2.8075366,-6.9692125,-6.7110286,1.6212026,14.4692,45.1278,-8.8206,-0.1775278,0.60525507,-0.30302283,17:35:51,Fast
1.3815341,1.2942348,0.086423516,-0.107665,0.022907447,-0.23426682,-5.397347,-7.9799833,1.8505725,14.4326,45.261997,-8.296,-0.17793603,0.60140395,-0.30326986,17:35:51,Fast
-2.575605,1.1913357,0.7275491,0.064751714,-0.48441613,1.8904753,-6.8497686,-6.739725,1.9730419,26.949799,38.564198,-12.566,-0.18619333,0.6005585,-0.2986969,17:35:51,Fast
-2.2303605,-1.6093988,0.607319,0.5714644,-0.48548517,1.7927368,-8.064457,-4.041629,3.8556314,30.792799,34.7212,-14.700999,-0.18009569,0.6340749,-0.3074517,17:35:51,Fast
